"outname","scaff","start","end","win_size","num_sites","num_snps","Rho","FstWC","dxy","AFD","FixedDiff","FstH","FstN"
"TKOHRA_WS1000_MS1","scaffold_5",23327000,23328000,1000,89,9,0.132275340631645,0.0201216042172103,0.0249212659080486,0.00406300160513644,0,0.0026404155975546,0.0174481059411326
"TKOHRA_WS1000_MS1","scaffold_5",6000,7000,1000,517,27,0.220682959174008,0.113628881415782,0.00678871494197292,0.000518098922354241,0,0.123222096564764,0.0818783865141481
"TKOHRA_WS1000_MS1","scaffold_5",7000,8000,1000,241,21,0.329118049776517,0.195809297489287,0.00851139535170915,-0.00171038332345386,0,0.197096778786314,0.12601904961031
"TKOHRA_WS1000_MS1","scaffold_5",14000,15000,1000,124,5,0.0350309704060564,0.00900639471719215,0.00158410138248848,7.20046082949308e-05,0,0.0102639296187683,0.0218766200103681
"TKOHRA_WS1000_MS1","scaffold_5",15000,16000,1000,511,57,0.0932156451476263,0.0314107826102707,0.00795373800205013,0.00201518963749884,0,0.0350067416034853,0.034404634024552
"TKOHRA_WS1000_MS1","scaffold_5",16000,17000,1000,450,58,0.178211971853466,0.084465879920362,0.0113150155895692,-0.00236772486772487,0,0.0988674633641611,0.0686616887166984
"TKOHRA_WS1000_MS1","scaffold_5",17000,18000,1000,694,50,0.200432827957042,0.0985599012088597,0.00564629219843557,0.00149238369699465,0,0.108475346766304,0.073477543978423
"TKOHRA_WS1000_MS1","scaffold_5",18000,19000,1000,550,51,0.184020721031061,0.0806048503831222,0.00930769751082251,-0.000657467532467533,0,0.0916320395610799,0.0646125038885119
"TKOHRA_WS1000_MS1","scaffold_5",19000,20000,1000,96,7,-0.00733560523792102,-0.00227846935178237,0.00565398685515873,0.000356522817460318,0,0.00874807461289586,0.0213787312772026
"TKOHRA_WS1000_MS1","scaffold_5",22000,23000,1000,79,5,0.0192591775989417,0.00639938460411362,0.00438422995780591,0.00105485232067511,0,0.0181906378850352,0.025706940874036
"TKOHRA_WS1000_MS1","scaffold_5",23000,24000,1000,640,53,0.161666062315902,0.0694293459571337,0.00892261323474703,0.000413876488095238,0,0.0763349816463121,0.056384433847292
"TKOHRA_WS1000_MS1","scaffold_5",24000,25000,1000,750,50,0.238841951997657,0.136855349307564,0.00690711805555556,0.000549603174603175,0,0.148416930542842,0.0961012831887121
"TKOHRA_WS1000_MS1","scaffold_5",25000,26000,1000,455,31,0.252370645942234,0.142268172524382,0.0109436322605965,-0.00434654631083203,0,0.150409858037011,0.0980006108695222
"TKOHRA_WS1000_MS1","scaffold_5",31000,32000,1000,29,1,0.157142857142857,0.0679611650485437,0.00431034482758621,-0.00431034482758621,0,0.0967741935483871,0.0666666666666667
"TKOHRA_WS1000_MS1","scaffold_5",32000,33000,1000,302,20,0.136035766751269,0.0523448150166527,0.00987218148848944,0.00300082781456954,0,0.0558432514021454,0.0461332134661042
"TKOHRA_WS1000_MS1","scaffold_5",33000,34000,1000,846,53,0.278460746009664,0.159725456837107,0.00694609348615333,0.00237462006079027,0,0.164825936290086,0.106024629673392
"TKOHRA_WS1000_MS1","scaffold_5",34000,35000,1000,591,43,0.189308070709988,0.0724891929405029,0.00708513365159939,-0.000521211022480058,0,0.0712829833813105,0.0538449470395158
"TKOHRA_WS1000_MS1","scaffold_5",35000,36000,1000,751,42,0.173075827580456,0.0773812130263379,0.0060249528406569,-0.000915446071904128,0,0.0858934603469298,0.0613089945067274
"TKOHRA_WS1000_MS1","scaffold_5",36000,37000,1000,602,69,0.234714909476188,0.108566396317079,0.0148551517263882,-0.00204922085113115,0,0.112016724565939,0.0753151082477528
"TKOHRA_WS1000_MS1","scaffold_5",37000,38000,1000,32,11,0.154369340511183,0.0261807359303498,0.0565098353794643,-0.0252511160714286,0,0.0103242692498632,0.0216239648251673
"TKOHRA_WS1000_MS1","scaffold_5",50000,51000,1000,30,2,-0.133730834752981,-0.0271888374854655,0.00338541666666667,-0.000694444444444444,0,-0.0256410256410256,0.00537056928034372
"TKOHRA_WS1000_MS1","scaffold_5",51000,52000,1000,685,63,0.128811855792945,0.0431739519057038,0.00685134797532152,-0.000406239137990963,0,0.0438204942884143,0.0390621112302742
"TKOHRA_WS1000_MS1","scaffold_5",52000,53000,1000,691,25,0.115835495339675,0.037262108253302,0.00200682887120116,-0.00031657018813314,0,0.0382553384825079,0.035362741523879
"TKOHRA_WS1000_MS1","scaffold_5",53000,54000,1000,607,19,0.29293484904046,0.149396450392704,0.00340659199223347,-0.000191221463873853,0,0.148846357903514,0.0964871491376395
"TKOHRA_WS1000_MS1","scaffold_5",54000,55000,1000,485,42,0.0106091718001369,0.00280822538273394,0.00635067654639175,-0.000966494845360825,0,0.00407061181909301,0.0179118928513797
"TKOHRA_WS1000_MS1","scaffold_5",55000,56000,1000,383,73,0.0645823305902611,0.0174832036853408,0.0179295078018152,-0.00217580504786771,0,0.0164431928086502,0.0244646964261999
